codmun;nome;uf;string
1300680;Boa Vista do Ramos;Amazonas;Boa Vista do Ramos, Amazonas, Brasil
1300706;Boca do Acre;Amazonas;Boca do Acre, Amazonas, Brasil
1300805;Borba;Amazonas;Borba, Amazonas, Brasil
1300839;Caapiranga;Amazonas;Caapiranga, Amazonas, Brasil
1300904;Canutama;Amazonas;Canutama, Amazonas, Brasil
1301001;Carauari;Amazonas;Carauari, Amazonas, Brasil
1301100;Careiro;Amazonas;Careiro, Amazonas, Brasil
1301159;Careiro da Várzea;Amazonas;Careiro da Várzea, Amazonas, Brasil
1301209;Coari;Amazonas;Coari, Amazonas, Brasil
1301308;Codajás;Amazonas;Codajás, Amazonas, Brasil
1301407;Eirunepé;Amazonas;Eirunepé, Amazonas, Brasil
1301506;Envira;Amazonas;Envira, Amazonas, Brasil
1301605;Fonte Boa;Amazonas;Fonte Boa, Amazonas, Brasil
1301654;Guajará;Amazonas;Guajará, Amazonas, Brasil
1301704;Humaitá;Amazonas;Humaitá, Amazonas, Brasil
1301803;Ipixuna;Amazonas;Ipixuna, Amazonas, Brasil
1301852;Iranduba;Amazonas;Iranduba, Amazonas, Brasil
1301902;Itacoatiara;Amazonas;Itacoatiara, Amazonas, Brasil
1301951;Itamarati;Amazonas;Itamarati, Amazonas, Brasil
1302009;Itapiranga;Amazonas;Itapiranga, Amazonas, Brasil
1302108;Japurá;Amazonas;Japurá, Amazonas, Brasil
1302207;Juruá;Amazonas;Juruá, Amazonas, Brasil
1302306;Jutaí;Amazonas;Jutaí, Amazonas, Brasil
1302405;Lábrea;Amazonas;Lábrea, Amazonas, Brasil
1302504;Manacapuru;Amazonas;Manacapuru, Amazonas, Brasil
1302553;Manaquiri;Amazonas;Manaquiri, Amazonas, Brasil
1302603;Manaus;Amazonas;Manaus, Amazonas, Brasil
1302702;Manicoré;Amazonas;Manicoré, Amazonas, Brasil
1302801;Maraã;Amazonas;Maraã, Amazonas, Brasil
1302900;Maués;Amazonas;Maués, Amazonas, Brasil
1303007;Nhamundá;Amazonas;Nhamundá, Amazonas, Brasil
1303106;Nova Olinda do Norte;Amazonas;Nova Olinda do Norte, Amazonas, Brasil
1303205;Novo Airão;Amazonas;Novo Airão, Amazonas, Brasil
1303304;Novo Aripuanã;Amazonas;Novo Aripuanã, Amazonas, Brasil
1303403;Parintins;Amazonas;Parintins, Amazonas, Brasil
1303502;Pauini;Amazonas;Pauini, Amazonas, Brasil
1303536;Presidente Figueiredo;Amazonas;Presidente Figueiredo, Amazonas, Brasil
1303569;Rio Preto da Eva;Amazonas;Rio Preto da Eva, Amazonas, Brasil
1303601;Santa Isabel do Rio Negro;Amazonas;Santa Isabel do Rio Negro, Amazonas, Brasil
1303700;Santo Antônio do Içá;Amazonas;Santo Antônio do Içá, Amazonas, Brasil
1303809;São Gabriel da Cachoeira;Amazonas;São Gabriel da Cachoeira, Amazonas, Brasil
1303908;São Paulo de Olivença;Amazonas;São Paulo de Olivença, Amazonas, Brasil
1303957;São Sebastião do Uatumã;Amazonas;São Sebastião do Uatumã, Amazonas, Brasil
1304005;Silves;Amazonas;Silves, Amazonas, Brasil
1304062;Tabatinga;Amazonas;Tabatinga, Amazonas, Brasil
1304104;Tapauá;Amazonas;Tapauá, Amazonas, Brasil
1304203;Tefé;Amazonas;Tefé, Amazonas, Brasil
1304237;Tonantins;Amazonas;Tonantins, Amazonas, Brasil
1304260;Uarini;Amazonas;Uarini, Amazonas, Brasil
1304302;Urucará;Amazonas;Urucará, Amazonas, Brasil
1304401;Urucurituba;Amazonas;Urucurituba, Amazonas, Brasil
1400050;Alto Alegre;Roraima;Alto Alegre, Roraima, Brasil
1400027;Amajari;Roraima;Amajari, Roraima, Brasil
1400100;Boa Vista;Roraima;Boa Vista, Roraima, Brasil
1400159;Bonfim;Roraima;Bonfim, Roraima, Brasil
1400175;Cantá;Roraima;Cantá, Roraima, Brasil
1400209;Caracaraí;Roraima;Caracaraí, Roraima, Brasil
1400233;Caroebe;Roraima;Caroebe, Roraima, Brasil
1400282;Iracema;Roraima;Iracema, Roraima, Brasil
1400308;Mucajaí;Roraima;Mucajaí, Roraima, Brasil
1400407;Normandia;Roraima;Normandia, Roraima, Brasil
1400456;Pacaraima;Roraima;Pacaraima, Roraima, Brasil
1400472;Rorainópolis;Roraima;Rorainópolis, Roraima, Brasil
1400506;São João da Baliza;Roraima;São João da Baliza, Roraima, Brasil
1400605;São Luiz;Roraima;São Luiz, Roraima, Brasil
1400704;Uiramutã;Roraima;Uiramutã, Roraima, Brasil
1500107;Abaetetuba;Pará;Abaetetuba, Pará, Brasil
1500131;Abel Figueiredo;Pará;Abel Figueiredo, Pará, Brasil
1500206;Acará;Pará;Acará, Pará, Brasil
1500305;Afuá;Pará;Afuá, Pará, Brasil
1500347;Água Azul do Norte;Pará;Água Azul do Norte, Pará, Brasil
1500404;Alenquer;Pará;Alenquer, Pará, Brasil
1500503;Almeirim;Pará;Almeirim, Pará, Brasil
1500602;Altamira;Pará;Altamira, Pará, Brasil
1500701;Anajás;Pará;Anajás, Pará, Brasil
1500800;Ananindeua;Pará;Ananindeua, Pará, Brasil
1500859;Anapu;Pará;Anapu, Pará, Brasil
1500909;Augusto Corrêa;Pará;Augusto Corrêa, Pará, Brasil
1500958;Aurora do Pará;Pará;Aurora do Pará, Pará, Brasil
1501006;Aveiro;Pará;Aveiro, Pará, Brasil
1501105;Bagre;Pará;Bagre, Pará, Brasil
1501204;Baião;Pará;Baião, Pará, Brasil
1501253;Bannach;Pará;Bannach, Pará, Brasil
1501303;Barcarena;Pará;Barcarena, Pará, Brasil
1501402;Belém;Pará;Belém, Pará, Brasil
1501451;Belterra;Pará;Belterra, Pará, Brasil
1501501;Benevides;Pará;Benevides, Pará, Brasil
1501576;Bom Jesus do Tocantins;Pará;Bom Jesus do Tocantins, Pará, Brasil
1501600;Bonito;Pará;Bonito, Pará, Brasil
1501709;Bragança;Pará;Bragança, Pará, Brasil
1501725;Brasil Novo;Pará;Brasil Novo, Pará, Brasil
1501758;Brejo Grande do Araguaia;Pará;Brejo Grande do Araguaia, Pará, Brasil
1501782;Breu Branco;Pará;Breu Branco, Pará, Brasil
1501808;Breves;Pará;Breves, Pará, Brasil
1501907;Bujaru;Pará;Bujaru, Pará, Brasil
1502004;Cachoeira do Arari;Pará;Cachoeira do Arari, Pará, Brasil
1501956;Cachoeira do Piriá;Pará;Cachoeira do Piriá, Pará, Brasil
1502103;Cametá;Pará;Cametá, Pará, Brasil
1502152;Canaã dos Carajás;Pará;Canaã dos Carajás, Pará, Brasil
1502202;Capanema;Pará;Capanema, Pará, Brasil
1502301;Capitão Poço;Pará;Capitão Poço, Pará, Brasil
1502400;Castanhal;Pará;Castanhal, Pará, Brasil
1502509;Chaves;Pará;Chaves, Pará, Brasil
1502608;Colares;Pará;Colares, Pará, Brasil
1502707;Conceição do Araguaia;Pará;Conceição do Araguaia, Pará, Brasil
1502756;Concórdia do Pará;Pará;Concórdia do Pará, Pará, Brasil
1502764;Cumaru do Norte;Pará;Cumaru do Norte, Pará, Brasil
1502772;Curionópolis;Pará;Curionópolis, Pará, Brasil
1502806;Curralinho;Pará;Curralinho, Pará, Brasil
1502855;Curuá;Pará;Curuá, Pará, Brasil
1502905;Curuçá;Pará;Curuçá, Pará, Brasil
1502939;Dom Eliseu;Pará;Dom Eliseu, Pará, Brasil
1502954;Eldorado do Carajás;Pará;Eldorado do Carajás, Pará, Brasil
1503002;Faro;Pará;Faro, Pará, Brasil
1503044;Floresta do Araguaia;Pará;Floresta do Araguaia, Pará, Brasil
1503077;Garrafão do Norte;Pará;Garrafão do Norte, Pará, Brasil
1503093;Goianésia do Pará;Pará;Goianésia do Pará, Pará, Brasil
1503101;Gurupá;Pará;Gurupá, Pará, Brasil
1503200;Igarapé-Açu;Pará;Igarapé-Açu, Pará, Brasil
1503309;Igarapé-Miri;Pará;Igarapé-Miri, Pará, Brasil
1503408;Inhangapi;Pará;Inhangapi, Pará, Brasil
1503457;Ipixuna do Pará;Pará;Ipixuna do Pará, Pará, Brasil
1503507;Irituia;Pará;Irituia, Pará, Brasil
1503606;Itaituba;Pará;Itaituba, Pará, Brasil
1503705;Itupiranga;Pará;Itupiranga, Pará, Brasil
1503754;Jacareacanga;Pará;Jacareacanga, Pará, Brasil
1503804;Jacundá;Pará;Jacundá, Pará, Brasil
1503903;Juruti;Pará;Juruti, Pará, Brasil
1504000;Limoeiro do Ajuru;Pará;Limoeiro do Ajuru, Pará, Brasil
1504059;Mãe do Rio;Pará;Mãe do Rio, Pará, Brasil
1504109;Magalhães Barata;Pará;Magalhães Barata, Pará, Brasil
1504208;Marabá;Pará;Marabá, Pará, Brasil
1504307;Maracanã;Pará;Maracanã, Pará, Brasil
1504406;Marapanim;Pará;Marapanim, Pará, Brasil
1504422;Marituba;Pará;Marituba, Pará, Brasil
1504455;Medicilândia;Pará;Medicilândia, Pará, Brasil
1504505;Melgaço;Pará;Melgaço, Pará, Brasil
1504604;Mocajuba;Pará;Mocajuba, Pará, Brasil
1504703;Moju;Pará;Moju, Pará, Brasil
1504752;Mojuí dos Campos;Pará;Mojuí dos Campos, Pará, Brasil
1504802;Monte Alegre;Pará;Monte Alegre, Pará, Brasil
1504901;Muaná;Pará;Muaná, Pará, Brasil
1504950;Nova Esperança do Piriá;Pará;Nova Esperança do Piriá, Pará, Brasil
1504976;Nova Ipixuna;Pará;Nova Ipixuna, Pará, Brasil
1505007;Nova Timboteua;Pará;Nova Timboteua, Pará, Brasil
1505031;Novo Progresso;Pará;Novo Progresso, Pará, Brasil
1505064;Novo Repartimento;Pará;Novo Repartimento, Pará, Brasil
1505106;Óbidos;Pará;Óbidos, Pará, Brasil
1505205;Oeiras do Pará;Pará;Oeiras do Pará, Pará, Brasil
1505304;Oriximiná;Pará;Oriximiná, Pará, Brasil
1505403;Ourém;Pará;Ourém, Pará, Brasil
1505437;Ourilândia do Norte;Pará;Ourilândia do Norte, Pará, Brasil
1505486;Pacajá;Pará;Pacajá, Pará, Brasil
1505494;Palestina do Pará;Pará;Palestina do Pará, Pará, Brasil
1505502;Paragominas;Pará;Paragominas, Pará, Brasil
1505536;Parauapebas;Pará;Parauapebas, Pará, Brasil
1505551;Pau D'Arco;Pará;Pau D'Arco, Pará, Brasil
1505601;Peixe-Boi;Pará;Peixe-Boi, Pará, Brasil
1505635;Piçarra;Pará;Piçarra, Pará, Brasil
1505650;Placas;Pará;Placas, Pará, Brasil
1505700;Ponta de Pedras;Pará;Ponta de Pedras, Pará, Brasil
1505809;Portel;Pará;Portel, Pará, Brasil
1505908;Porto de Moz;Pará;Porto de Moz, Pará, Brasil
1506005;Prainha;Pará;Prainha, Pará, Brasil
1506104;Primavera;Pará;Primavera, Pará, Brasil
1506112;Quatipuru;Pará;Quatipuru, Pará, Brasil
1506138;Redenção;Pará;Redenção, Pará, Brasil
1506161;Rio Maria;Pará;Rio Maria, Pará, Brasil
1506187;Rondon do Pará;Pará;Rondon do Pará, Pará, Brasil
1506195;Rurópolis;Pará;Rurópolis, Pará, Brasil
1506203;Salinópolis;Pará;Salinópolis, Pará, Brasil
1506302;Salvaterra;Pará;Salvaterra, Pará, Brasil
1506351;Santa Bárbara do Pará;Pará;Santa Bárbara do Pará, Pará, Brasil
1506401;Santa Cruz do Arari;Pará;Santa Cruz do Arari, Pará, Brasil
1506500;Santa Izabel do Pará;Pará;Santa Izabel do Pará, Pará, Brasil
1506559;Santa Luzia do Pará;Pará;Santa Luzia do Pará, Pará, Brasil
1506583;Santa Maria das Barreiras;Pará;Santa Maria das Barreiras, Pará, Brasil
1506609;Santa Maria do Pará;Pará;Santa Maria do Pará, Pará, Brasil
1506708;Santana do Araguaia;Pará;Santana do Araguaia, Pará, Brasil
